Data,Tipo de movimentação,Valor
2024-11-29,Rendimentos,2.55
2024-12-02,Rendimentos,2.49
2024-12-03,Rendimentos,3.07
2024-12-04,Rendimentos,2.64
2024-12-05,Rendimentos,2.58
2024-12-06,Rendimentos,2.56
2024-12-09,Rendimentos,2.64
2024-12-10,Rendimentos,4.99
2024-12-11,Rendimentos,2.72
2024-12-12,Rendimentos,2.73
2024-12-13,Rendimentos,2.83
2024-12-14,Guardado,621.41
2024-12-14,Guardado,157.17
2024-12-16,Rendimentos,2.74
2024-12-16,Guardado,2.2
2024-12-17,Rendimentos,2.75
2024-12-18,Rendimentos,2.77
2024-12-19,Rendimentos,2.77
2024-12-20,Rendimentos,2.79
2024-12-23,Rendimentos,2.81
2024-12-24,Rendimentos,3.0
2024-12-26,Rendimentos,2.87
2024-12-27,Rendimentos,2.97
2024-12-30,Rendimentos,2.93
2024-12-31,Rendimentos,3.11
2025-01-02,Rendimentos,3.03
2025-01-03,Rendimentos,3.1
2025-01-06,Rendimentos,3.08
2025-01-07,Rendimentos,5.21
2025-01-08,Rendimentos,3.12
2025-01-09,Rendimentos,3.12
2025-01-10,Rendimentos,3.17
2025-01-11,Guardado,530.88
2025-01-13,Rendimentos,3.2
2025-01-14,Rendimentos,3.56
2025-01-15,Rendimentos,3.21
2025-01-16,Rendimentos,3.1
2025-01-17,Rendimentos,3.11
2025-01-20,Rendimentos,3.09
2025-01-21,Rendimentos,3.23
2025-01-22,Rendimentos,3.17
2025-01-23,Rendimentos,3.19
2025-01-24,Rendimentos,3.18
2025-01-27,Rendimentos,3.2
2025-01-28,Rendimentos,3.36
2025-01-29,Rendimentos,3.22
2025-01-30,Rendimentos,3.25
2025-01-31,Rendimentos,3.52
2025-02-03,Rendimentos,3.72
2025-02-04,Rendimentos,3.6
2025-02-05,Rendimentos,3.55
2025-02-06,Rendimentos,3.57
2025-02-07,Rendimentos,3.65
2025-02-10,Rendimentos,3.9
2025-02-11,Rendimentos,3.63
2025-02-12,Rendimentos,3.68
2025-02-13,Rendimentos,3.53
2025-02-14,Rendimentos,3.55
2025-02-17,Rendimentos,3.53
2025-02-18,Rendimentos,3.55
2025-02-19,Rendimentos,3.52
2025-02-20,Rendimentos,3.55
2025-02-21,Rendimentos,3.54
2025-02-24,Rendimentos,3.57
2025-02-25,Rendimentos,3.53
2025-02-26,Rendimentos,3.55
2025-02-27,Rendimentos,3.58
2025-02-28,Rendimentos,3.55
2025-03-05,Rendimentos,3.55
2025-03-06,Rendimentos,3.56
2025-03-07,Rendimentos,5.21
2025-03-10,Guardado,150.0
2025-03-10,Rendimentos,3.58
2025-03-11,Rendimentos,3.58
2025-03-12,Rendimentos,3.59
2025-03-13,Rendimentos,3.56
2025-03-14,Rendimentos,3.61
2025-03-17,Rendimentos,3.62
2025-03-18,Rendimentos,3.58
2025-03-19,Rendimentos,3.62
2025-03-20,Rendimentos,3.63
2025-03-21,Rendimentos,3.86
2025-03-24,Rendimentos,3.96
2025-03-25,Rendimentos,3.88
2025-03-26,Rendimentos,3.94
2025-03-27,Rendimentos,3.87
2025-03-28,Rendimentos,3.94
2025-03-31,Rendimentos,3.95
2025-04-01,Rendimentos,3.95
2025-04-02,Rendimentos,3.95
2025-04-03,Rendimentos,3.93
2025-04-04,Rendimentos,3.98
2025-04-07,Rendimentos,6.01
2025-04-08,Rendimentos,3.99
2025-04-09,Rendimentos,3.99
2025-04-10,Rendimentos,3.95
2025-04-10,Guardado,150.0
2025-04-11,Rendimentos,3.94
2025-04-14,Rendimentos,3.97
2025-04-15,Rendimentos,3.96
2025-04-16,Rendimentos,3.99
2025-04-17,Rendimentos,3.96
2025-04-22,Rendimentos,4.05
2025-04-23,Rendimentos,3.99
